rom,devices,thumbnail,site
Lineage OS,"p024,z00a,z008,z00d,Z00L,Z00T,peach,vegetalte,piccolo,paella,seed,maguro,toroplus,toro,manta,mako,hammerhead,bullhead,shamu,angler,flo,deb,flounder_lte,flounder,dragon,pme,m7,m7vzw,m8,m8d,hiaeuhl,hiaeul,himaul,himawl,t6,t6vzw,mt2,cherry,che10,kiwi,v410,v480,v500,v521,d800,d803,d802,d801,g2m,d850,d852,f400,ls990,d851,d855,vs985,jagnm,jag3gds,h815,h811,h850,h830,w5,w7,h910,us996,ls997,h918,s2,x2,zl1,A6020,kingdom,maserati,targa,spyder,condor,otus,surnia,falcon,osprey,titan,peregrine,thea,merlin,harpia,athene,ghost,victara,lux,clark,griffin,addison,xt897,umts_spyder,ether,foster,roth,shieldtablet,find7,find7s,n3,r5,r7plus,oneplus2,oneplus3,bacon,onyx,lt03lte,n1awifi,ha3g,hltetmo,hlte,n5100,n5120,n5110,t0lte,t0ltektt,t0ltekor,t0lteskt,i9100,d2att,i9305,i9300,d2spr,d2tmo,d2vzw,jfltexx,jfltevzw,ks01lte,serranoltexx,serranodsdd,serrano3gxx,klte,kltedi,kltechn,kltekor,kltespr,klteusc,kltevzw,kltedv,klteduos,kltechnduo,lentislte,kccat6,herolte,hero2lte,espresso3g,espressowifi,lt02ltespr,n2awifi,mondrianwifi,chagallwifi,klimtwifi,gts28vewifi,gts210ltexx,gts210wifi,gts210vewifi,nicki,huashan,mint,hayabusa,tsubasa,kipper,crackling,wt88047,cancro,libra,gemini,capricorn,natrium,lithium,hydrogen,armani,ido,kenzo,jalebi,lettuce,tomato,axon7,ham,vs995",Lineage.png (https://dl.airtable.com/VIsjIuNThyxJlkf052wa_Lineage.png),lineageos.org
Resurrection Remix,"A6020,A7010a48,aio_otfp,angler,armani,athene,axon7,bacon,bullhead,cancro,capricorn,castor,castor_windy,clark,condor,CP8298_I00,CP8676_I02,crackling,d2att,d2spr,d2tmo,d2vzw,d802,d855,deb,dior,dogo,dragon,falcon,flo,flounder,garlic,gemini,h811,h815,ham,hammerhead,harpia,hayabusa,huashan,i9082,i9100,I9205,i9300,i9305,jag3gds,jagnm,jalebi,jfltexx,k3gxx,karate,kenzo,kiwi,klte,kltechn,kltechnduo,klteduos,kltedv,kltekdi,kltekor,kltespr,klteusc,kltevzw,lettuce,libra,lithium,ls980,lt02ltespr,m8,m8d,manta,merlin,mido,mint,n5100,n5110,n5120,n7000,n7100,natrium,nicki,nx531j,odin,oneplus3/3T,oneplus2,oneplus3,oneplus3t,oneplus5,onyx,osprey,peregrine,pme,potter,quark,s2,scorpio,serrano3gxx,serranodsdd,serranoltexx,shamrock,shamu,sirius,sltexx,sprout8,surnia,T00F,taido_row,titan,togari,tomato,trltexx,tsubasa,v400,victara,vs980,wt88047,yuga,Z00L,Z00T,Z010D,zl1,zuk_z2,ido",download.png (https://dl.airtable.com/G5H6fU4VTSGdbux2ITM6_download.png),resurrectionremix.com
AOKP,,,
,"sprout4,sprout8,mt2,axon7,find5,find7,find7s,v500,d800,d802,ls980,d801,vs980,d850,d852,d855,f400,ls990,d851,vs985,j5ltexx,j5nltexx,maguro,toro,t0lteatt,t0lte,l900,t0ltetmo,i605,hlte,i9100,i9300,d2lte,i9500,jfltexx,jfltevzw,serranoltexx,serranodsdd,serrano3gxx,klte,kltespr,klteusc,kltedv,coconut,cancro,condor,otus,sumia,falcon,titan,thea,osprey,merlin,harpia,athene,potter,quark,ghost,moto_msm8960dt,griffin,addison,mako,n1awifi,manta,shamu,hammerhead,bullhead,flo,angler,deb,p930,tilapia,grouper,m8,bacon,m7,e980,m7spr,m7vzw,kenzo,p9000,armani,oneplus3,ether,vs920,onyx,oneplus2,A6020,smultron,satsuma,anzu,haida,mango,hallon,huashan,iyokan,urushi,pollux_windy,mint,pollux,togari,tsubasa,yuga,sirius,honami,amami,lettuce,odin,dogo,tomato",download.jpg (https://dl.airtable.com/m4ztZnBJRF6hrPCflHXs_download.jpg),aokp.co
SlimRom,"mako,hammerhead,manta,grouper,tilapia,flo,maguro,toro,toroplus,nozomi,crespo,crespo4g,i9300,n7000,n7100,d2att,d2tmo,d2spr,d2usc,d2vzw,i9100,i9100g,skyrocket,hercules,i777,galaxysmtds,captivatemtd,vibrantmtd,endeavoru,p3100,p3110,jflteatt,jfltecan,jfltespr,jfltetmo,jfltevzw,jfltexx,m7spr,m7ul,m7tmo,m7att,xt926,xt925,t0ltetmo,t0lteatt,t0lte,p5100,p5110,m7vzw,deb,geeb,d800,p700,d802,e610,d2mtr,jflteusc,vs980,d801,ls980,honami,hlte,yuga,falcon,d803,jflte,d2lte,v500,i925u,m7,n5110,n5120,n5100,m8,i925,togari,moto_msm8960dt,pyramid,i9500,moto_msm8960,bacon,amami,hltevzw,hltespr,hlteusc,taoshan,mondrianwifi,ghost,peregrine",download (3).png (https://dl.airtable.com/TE2YiYzwQVeoTXI1xoor_download%20(3).png),slimroms.org
AICP,,,
,"a6000,A6020,amami,angler,armani,athene,axon7,bacon,bullhead,cancro,castor,castor_windy,cedric,chagalllte,chagallwifi,cheeseburger,clark,d800,d801,d802,d803,d850,d851,d852,d855,deb,ether,flo,flounder,gemini,griffin,grouper,h811,h815,hammerhead,hammerheadcaf,huashan,hydrogen,i9100,i9300,jfltevzw,jfltexx,kenzo,kiwi,klimtwifi,klte,kltekdi,l01f,lettuce,libra,ls980,ls990,lux,m7,m8,mako,mido,n1awifi,n7100,oneplus2,oneplus3,onyx,osprey,p2a42,peach,pme,potter,s2,seed,serranoltexx,serranodsdd,serrano3gxx,shamrock,shamu,shieldtablet,surnia,tilapia,vs980,vs985,w7,wt88047,z008,z00a,z00ed,z2_plus,zl1",download (1).png (https://dl.airtable.com/RxfrmBY9RimDH8ZJquIr_download%20(1).png),aicp-rom.com
crDroid,"shamu,falcon,merlin,onyx,i9300,klte,odin,ido,d855,d850,d851,kiwi,Z00L,CP8298_I00,mako,hammerhead,deb,flo,bullhead,angler,sailfish,marlin,x526,x500,A7010a48,v500,d800,d801,d802,d803,ls980,vs980,d852,ls990,vs985,f400,g3ds,h811,h815,h830,h850,titan,thea,athene,clark,osprey,quark,harpia,griffin,addison,potter,ether,bacon,oneplus2,oneplus3,find7,i9100,jfltexx,ks01ltexx,kltekor,kltekdi,klteduos,kltedv,klteusc,kltevzw,kltechnduo,kltechn,kltespr,kltedi,herolte,hero2lte,crackling,kipper,hydrogen,mido,ferrari,gemini,cancro,wt88047,lettuce,tomato,axon7",download (1).jpg (https://dl.airtable.com/GbXEgwPSy2ZB5B24MfEV_download%20(1).jpg),plus.google.com/communities/118297646046960923906
AOSP Extended,"Z00L,Z010D,gohan,CP8676_I02,seed,shamrock,bullhead,shamu,angler,rio,kiwi,d802,d801,d800,d803,vs980,ls980,s2,x2,zl1,a6000,aio_row,aio_otfp,karate,A7010a48,A6020,p1a42,p2a42,condor,otus,surnia,taido_row,falcon,titan,osprey,merlin,harpia,athene,potter,quark,victara,lux,addison,bacon,oneplus2,oneplus3/3T,onyx,fortunafz,fortuna3g,fortunave3g,j5nltexx,serrano3gxx,serranoltexx,serranodsdd,herolte,gts28ltexx,gts28wifi,gts210ltexx,gts210wifi,gts210vewifi,kipper,ferrari,libra,gemini,hydrogen,armani,wt88047,ido,kenzo,mido,jalebi,lettuce,tomato,z2_plus,z2_row",21023438.png (https://dl.airtable.com/KBufScVDRQ2vkKVjugfx_21023438.png),aospextended.com
Paranoid Android - WIP,"amami,angler,aries,bacon,bullhead,castor,castor_windy,deb,find5,find7,find7s,flo,flounder,gemini,grouper,gts210ltexx,gts210wifi,hammerhead,honami,ivy,karin,karin_windy,kugo,leo,maguro,mako,manta,marlin,n1,oneplus2,oneplus3/3T,onyx,ether,sailfish,satsuki,scorpion,scorpion_windy,shamu,sirius,sumire,suzu,suzuran,tilapia,togari,toro,toroplus,zl1",top.jpg (https://dl.airtable.com/oPuREcyDRgGC6JkZMnt2_top.jpg),aospa.co
OCT-N,,,
,"a6000,angler,armani,athene,axon7,bacon,bullhead,cancro,cedric,cheeseburger,d2att,d2spr,d2tmo,d2vzw,d850,d851,d855,gemini,hammerhead,i9100,kenzo,ls990,mido,oneplus2,oneplus3/3T,potter,s2,sailfish,serranoltexx,serranodsdd,serrano3gxx,serranolteusc,shamu,surnia,tomato,vs985,wt88047,wt86528,z008,z00a,Z00L,Z00T,z2_plus,merlin",Octos-300.png (https://dl.airtable.com/M1LXV67lQEKEyRr4khu3_Octos-300.png),teamoctos.com
XenonHD,"Z00L,Z00T,z00ed,kiwi,m7,m8,s2,a6000,A7010a48,d855,mako,bullhead,surnia,falcon,titan,athene,potter,lux,addison,oneplus2,oneplus3,bacon,onyx,i9100,i9300,jfltexx,jfvelte,n7100,lt01wifi,yuga,odin,cancro,armani,wt88047,kenzo,lettuce,tomato",download.jpg (https://dl.airtable.com/OtBY5yaaQymx07djjwYj_download.jpg),xenonhd.com
ViperOS,"Z010D,kiwi,bullhead,A7010a48,A6020,a6000,d855,condor,falcon,peregrine,titan,thea,osprey,merlin,athene,potter,victara,griffin,addison,harpia,oneplus2,oneplus3,j5ltexx,cancro,ido,kenzo,mido,wt88047",banner.jpg (https://dl.airtable.com/I4KAz8ZaREaw1BMPylZn_banner.jpg),viper-os.com
DarkNess reDefined,"kenzo,bacon,Z00L,tomato,gemini,ham,osprey,lettuce,cancro,s2,mido,hydrogen,titan,athene,aio_otfp,A7010a48,karate,oneplus2,addison,wt88047,taido_row",24863317.png (https://dl.airtable.com/388uvC0TambElirn4Ecw_24863317.png),plus.google.com/communities/102951559675870137271
XOSP,,,
,"z008,z00a,angler,armani,dogo,huashan,kenzo,libra,lux,m7,mako,onyx,yuga",download (2).png (https://dl.airtable.com/GY5txBVQu2uMX1GDy750_download%20(2).png),cyanogenmods.org/crdroid-nougat-7-1-rom-devices-list
Pure Nexus - Coming soon,"bullhead,shamu,angler,sailfish,marlin",download.png (https://dl.airtable.com/cya0n70JR7CtDPyoWY4d_download.png),plus.google.com/communities/103055954354785266764
Vertex OS - Coming soon,"oneplus3,oneplus2,onyx,prada",Dr7Gpfd.png (https://dl.airtable.com/wFW6hu61QS2krAN8XE3R_Dr7Gpfd.png),vertexos.org
Cosmic OS - Coming soon,"lettuce,tomato,garlic,bacon,oneplus2,onyx,oneplus3,titan,osprey,merlin,athene,potter,Z00L,bullhead,j5ltexx,kenzo,wt88047,A7010a48,a6000",logo.png (https://dl.airtable.com/Ex4q47jHQ26CJHXjMwMw_logo.png),cosmic-os.com
Dark ROM - Future,,,
Dirty Unicorns - Future,,photo.jpg (https://dl.airtable.com/PjTPoPJTNWdwYT6bb9qg_photo.jpg),dirtyunicorns.com
OwnROM - Future,,H6D8VFS.png (https://dl.airtable.com/XFMwZwZiRVypMgLwJ4t4_H6D8VFS.png),ownrom.netlify.com
AOSiP - Future,,Dr6rSI1.png (https://dl.airtable.com/wiGGxSYOQl50FVILDiqg_Dr6rSI1.png),plus.google.com/communities/111510412594093155165
Xperience - Future,,download (1).png (https://dl.airtable.com/OtGwxF8LQg6Sp2dIjAxC_download%20(1).png),thexperienceproject.com
Validus - Future,,maxresdefault.jpg (https://dl.airtable.com/3aVTezNDQ0TDIoXyJI5w_maxresdefault.jpg),
Tipsy - Future,,,
Tesla - Future,,,
MoKee - Future,,,
CyberOS - Future,,,
Slim7 - Future,,,
OmniROM - Future,,,
CarbonROM - Future,,Cover_Google.jpg (https://dl.airtable.com/WU1snOAUR7yudMmlQ3su_Cover_Google.jpg),carbonrom.org
Beanstalk - Future,,,
AOSGP X - Future,,,
NucleaROM - Future,,,
AIM ROM - Future,,,
HalogenOS - Future,,,
Liquid Dark - Future,,,
AquariOS - Future,,,
ZephyrOS - Future,,,
HexagonROM - Future,,,
DominionOS - Future,,,
FireHound - Future,,,
Candy7 - Future,,,
CaldinalAOSP - Future,,,
CitrusCAF - Future,,,
Invicta OS - Future,,,
Screw'd - Future,,ScrewdAndroid4_resized-e1480525006874.png (https://dl.airtable.com/aCbu4sZaRVqb681fIuzT_ScrewdAndroid4_resized-e1480525006874.png),http://screwdandroid.com/
LegendROM - Future,,,
EmotionOS - Future,,,
NX - Future,,,
OXI - Future,,,